,Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,21 July 2023,LoveofLegacy,6," Beautiful film, but so preachy
","Margot does the best with what she's given, but this film was very disappointing to me. It was marketed as a fun, quirky satire with homages to other movies. It started that way, but ended with over-dramatized speeches and an ending that clearly tried to make the audience feel something, but left everyone just feeling confused. And before you say I'm a crotchety old man, I'm a woman in my 20s, so I'm pretty sure I'm this movie's target audience. The saddest part is there were parents with their kids in the theater that were victims of the poor marketing, because this is not a kid's movie. Overall, the humor was fun on occasion and the film is beautiful to look at, but the whole concept falls apart in the second half of the film and becomes a pity party for the ""strong"" woman.",/review/rw9201199/?ref_=tt_urv
1,26 July 2023,aherdofbeautifulwildponies,6," A Hot Pink Mess
","Before making Barbie (2023), ",/review/rw9201199/?ref_=tt_urv
2,22 July 2023,imseeg,7," 3 reasons FOR seeing it and 1 reason AGAINST.
",The first reason to go see it:,/review/rw9201199/?ref_=tt_urv
3,31 July 2023,ramair350,10," As a guy I felt some discomfort, and that's ok.
","As much as it pains me to give a movie called ""Barbie"" a 10 out of 10, I have to do so. It is so brilliantly handled and finely crafted, I have to give the filmakers credit. Yes, I am somewhat conservative person and former law enforcement officer. I'm a guy. I like guy things. Hell I even enjoyed the Battleship movie a few years ago (an absolutely ridiculous but fun romp of an action film). But I also like to experience other perspectives. And man oh man does this movie deliver that in spades - pretty much encapsulated everything my wife has tried to convey about her entire career and life experience wrapped up into two hours! The humor, the sets, the acting, and the ability to weave the current narrative into the story was just perfect. I don't agree with some of the points of the movie, but again, that's ok. This movie wasn't designed to give a balanced perspective of men versus women; it is a no-holds-barred unapologetic crazy ride of a rant about the real issues that women have faced since they were ""allowed"" to have ""real jobs"" and do the same things as men. Give me a well done film that is a blast to watch, that makes you think, and that was done from a place of creativity, passion, and attention to detail, and I'll call it what it is: a 10 out of 10 masterpiece.",/review/rw9201199/?ref_=tt_urv
4,22 July 2023,Natcat87,6," Too heavy handed
","As a woman that grew up with Barbie, I was very excited for this movie. I was curious to see how they would evolve the ""stereotypical Barbie"" into something more. But the messaging in this movie was so heavy handed that it completely lost the plot. I consider myself a proponent of gender equality, and this ain't the way to get it.",/review/rw9201199/?ref_=tt_urv
5,20 July 2023,Azureus91,," I fee sorry to those who fell in the Barbenheimer trap
","To say that I was disappointed is an understatement. The movie starts fine which is more or less what was advertised in the trailers where the setting was Barbie. That was kind of fun. The problem is that the second part is just a mess in pace, it tries tooooo hard to be funny. The main message of the movie would have been great if it had been delivered properly. It was nowhere close to be succint. All Pixar movies do a better job at making their point. And for me, the worst of all, is that it tried to be controversial so hard that it became stale and dull after some minutes since everything centered around the same topic.",/review/rw9201199/?ref_=tt_urv
6,21 July 2023,Sleepin_Dragon,8," Well this really did come as a surprise.
","It pains me to say it, but I enjoyed this movie so much more then I was expecting to, musical numbers, humour, there truly is something for the whole family yo enjoy.",/review/rw9201199/?ref_=tt_urv
7,21 July 2023,G-Joshua-Benjamin,6," My mom and I saw this yesterday. Here are my thoughts.
",I don't know if I put spoilers in here. I am super worn out. Haha So I will just put that I did.,/review/rw9201199/?ref_=tt_urv
8,24 July 2023,coxaneesa,8," It was depressing
",I thought this would be so much different. The ending made me feel sad and empty. Ken and Barbie don't end up together and they made Ken seem like a complete idiot. Actually they presented men as being dumb throughout the whole movie. And I'm not a man but that's just not true. It was depressing and sad and never the way Barbie was created for. I know a lot of people won't agree with me and that's okay but it was just pointless going to see it. The only good thing is that the Barbie aesthetic was beautifully done.,/review/rw9201199/?ref_=tt_urv
9,20 July 2023,portraitofaladyonfire,6," Brilliant observations, but social depth is missing
","Greta Gerwig and Noah Baumbach have a knack for incorporating the many little observations of life, whether funny or deeply interpersonal, into a screenplay. Gerwig manages to direct them with great visuals and clever transitions.",/review/rw9201199/?ref_=tt_urv
10,20 July 2023,MissSimonetta,4," The marketing was more entertaining than the actual movie
","I went to see this today, everyone in my group dressed in pink and ready to at least be entertained by pastel-colored camp for two hours. BARBIE kind of succeeds there: I loved the costuming and sets of Barbieland, and Margot Robie is such a fantastic actress, the perfect embodiment of the optimistic, she-can-do-it-all Barbie. Ryan Gosling was a scene-stealer with his horse obsession and faux mink coat.",/review/rw9201199/?ref_=tt_urv
11,19 July 2023,HabibieHakim123,8," Barbie Is A Weirdly Fun Movie!
","8.5/10
While i'm not so sure at first, the movie kept getting even more fun, entertaining, and definitely better, also surprisingly deal with a legit serious stuff, Barbie is a weirdly fun movie that fills with this very interesting concept, definitely the first time that's ever done, Greta Gerwig has created this whole new style of filmmaking specifically for Barbie, from the intentionally weird yet creative editing, some awkward and cringe scene, i found the comedy so funny instead of cringe, Barbie is one of the most original movie of the year and also one of the most original movie i've seen in a while, we all know Margot Robbie and Ryan Gosling is gonna carry the movie and they are, but Will Ferrell, Simu Liu, and the whole rest of the cast were also great and entertaining, the soundtrack was just great, except Nicki Minaj and Ice Spice ""Barbie World"" song that are just absolutely terrible, but Billie Eilish ""What Was I Made For?"" tune that kept haunting in the background until it finally get the perfect scene to played it was really the best thing because that song was just beautiful and emotional, anyway, Barbie is a lot of fun, while there is still some noticeable flawed, most of them i found it funny, entertaining, colourful, creative, and fun, pure fun, it's something that i probably will love it even more the second time i see it, but as of right now, Barbie was a good time, definitely recommended and with this movie somehow it's actually possible to have a live-action Barbie movie, all you need to have is a good writer, good director, and good cast, and they delivers mostly.",/review/rw9201199/?ref_=tt_urv
12,23 July 2023,Revuer223,6," Could Have Been Great. 2nd Half Brings It Down.
","The quality, the humor, and the writing of the movie is fun for a while. It's quirky and it's unique. When they get into the weeds and try to explore deeper themes, the movie is a miss. The middle expositional phase of the movie, I must say, is a bore.",/review/rw9201199/?ref_=tt_urv
13,29 August 2023,antoniatejedabarros,3," Disappointing: terribly preachy and horrendous script. Great cast.
","Margot Robbie and Ryan Gosling are really great in their roles of Barbie and Kent. Gosling is specially hilarious. I expected a funny, cool, deep and entertaining movie, but I was highly disappointed. The movie is so terribly preachy that ends being an embarrassment. We (the audience) have brains, so, please, preach somewhere else. Furthermore, this is a movie to divide, not to unite. And I'm a woman. The script of the movie is horrendous and the direction is plain bad. There are some great actresses that have too little to say, like Emma Mackey, and that's a pity. Overall: a huge disappointment and a missed opportunity. 3/10 (1 point for Margot Robbie, 1 point for Ryan Gosling, and 1 point for the art direction (super tacky and pinky, as Barbie's world).",/review/rw9201199/?ref_=tt_urv
14,24 July 2023,heatherhilgers,9," A Technicolor Dream
","Wow, this movie was a love letter to cinema. From the Kubrick reference at the opening, to the soundstage being 100% real - no cgi for the sets. There were dance sequences like in the olden days (think Grease) and the costuming , wow the costuming. Greta Gerwig dug deep to make this masterpiece using all of her technical chops along the way. The casting director also nailed it, everyone was wonderful.",/review/rw9201199/?ref_=tt_urv
15,27 August 2023,kayleewillis-85920,6," OVERHYPED
","This is a movie that was way overhyped. Everyone kept saying it was so amazing, but when I finally go to watch it, it was not at all what I thought it was going to be. The storyline was not good. It was a basic and corny storyline, in my opinion.",/review/rw9201199/?ref_=tt_urv
16,19 July 2023,jpismyname,8," Fun and surprisingly touching
","I was honestly doubting this movie at first, but surprisingly I find myself really liking it quite a lot.",/review/rw9201199/?ref_=tt_urv
17,24 July 2023,lokicola,6," Strong Start... and That's It
","I walked out of the theatre thinking, ""Yeah, I had a good time in that movie"". But as the day went on I kind had that ""Ok, that kebab probably wasn't a good idea.""",/review/rw9201199/?ref_=tt_urv
18,9 August 2023,L3MM3,," Boring, mind-numbing drivel
","I do not usually write reviews, but this is beyond description. Last time I wrote a review it was for the absolutely horrible wrinkle in time. This is almost as bad. At least Gosling plays his part well, but the story is abysmal. If you can find anything else to do like watch paint dry, then yes please do. You will save your brain cells the agony of a painful slow ..... nearly two hours long this was mind-numbing storytelling at its mediocre worst. How many ways can I say do not go see it if you have a choice. See anything else but this exercise in horrendous cliches and exaggerated self-importance. If I could give it negative 10 stars I would.",/review/rw9201199/?ref_=tt_urv
19,22 July 2023,finnconnelly-63017,10," Ken out of ten
","Wow. I did not see this masterpiece coming. And that's not a joke. Somehow, Greta Gerwig took Barbie, and made a movie that tackles some really tough social issues....well? It's crazy. But wow, does it work. The story is very mature, thinker of a plot. Once you're done laughing your butt off, you'll get really emotional. The production design is so on point. The whole movie is pink everything, but it's never polarizing. All the shades melt together in a very pleasing way. And of course the cast! Margot Robbie was born to play Barbie, and she hits a home run, but Ryan Gosling. This dude rocks as Ken. He knocked it all the way around the world and hit himself in the back of the head. He steals every scene he's in, and I would be so on board with a Ken spin-off. America Ferrara and Simu Liu are also great in their respective roles, but the cast overall is just perfect. Overall, Barbie is probably the best movie based off a toy (sorry LEGO Movies) and an overall fantastic time at the movies.",/review/rw9201199/?ref_=tt_urv
20,19 July 2023,hamsterination,6," It could have been so much better...
","The film's universe and settings are fantastic. The casting is really good too, with Gosling excelling in the role of Ken.",/review/rw9201199/?ref_=tt_urv
21,3 August 2023,AngelHonesty,5," Not what I Expected
","I played with barbies a lot as a kid, so I thought this movie was going to be fun. The trailer looked great, I thought, why not, let's have a girls movie night, kick back relax, watch a funny iconic movie about my favorite toys as a kid. But I was greatly let down really fast. The movie was all about a strong message of what a woman is, what a man is, how the world defines those roles and how we should just be whoever we are. There was nothing in the movie that made me laugh. It all felt kinda heavy with the message they were telling. It's definitely not a kids movie either, I don't think they would understand half of it. Really wasn't happy with the movie.",/review/rw9201199/?ref_=tt_urv
22,20 July 2023,Genti25,8," You are Kenough
","This movie is so much fun. It starts off really strong although the story does move away from ""Barbieland"" sooner than I would have liked. Nonetheless, it regains its footing with the final act in particular and I could not stop laughing at Ryan Gosling's portrayal of Ken. That song will forever be stuck in my head.",/review/rw9201199/?ref_=tt_urv
23,20 July 2023,fscsgxp,6," Amazing Cast & Set, but the political message was too strong
","I've been excited for this movie for over a year. The casting was perfect and the acting was amazing! The set was next level, the tiny details were all there and even the highest barbie fan couldn't ask for anything more from it. It is PERFECTION.",/review/rw9201199/?ref_=tt_urv
24,23 July 2023,herrcarter-92161,5," Somewhat of a Jumbled Mess
",My 15-year old daughter wrote the following review and posted it to my IMDB account.,/review/rw9201199/?ref_=tt_urv
25,1 August 2023,zkonedog,10," An Amazingly Perfect Blend Of Social Satire & Fun
","For a film like ""Barbie"" to succeed, every aspect had to come together perfectly. It needed to consummately balance satire with fun, the casting had to be spot-on, and the writing/directing required to pull off such a feat would need to be exquisite. Somewhat remarkably, that is exactly what writer/director Greta Gerwig pulls off here to create the best movie of summer 2023.",/review/rw9201199/?ref_=tt_urv
26,29 July 2023,planktonrules,6," Good...not great
","""Barbie"" is a movie that is setting all sorts of records, so it's obvious that the film is touching many people. For some, it's the fun of seeing a doll come to life, for others it's the theme of empowerment that make the movie a big hit. As for me, I did like it and thought it was a pretty good movie...but it's not for everyone.",/review/rw9201199/?ref_=tt_urv
27,4 August 2023,thePopcornExplorer,9," I don't see how it was preachy
","In this day and age with society overall becoming more and more polarized and our leaders around the world doing nothing to improve dialogue, it seems that people became broken records. Now everything in the movies and TV shows is perceived as preachy, not everything is a conspiracy, people need to consider that movies and TV shows at its core, and specially the good ones, are about sharing perspectives and allow the audience, if their minds are opened to it, to acknowledge all sides of the stories.",/review/rw9201199/?ref_=tt_urv
28,21 July 2023,andermic18,6," No Direction
","The movie was very funny and really enjoyable to laugh at with the full theatre. However, the messages of the movie were the problem. I was never really sure what I was supposed to take away, there was nothing about finding equality or love it was all about how every man cat falls every woman or women can't be anything. It was really silly because there was no accurate reflection of America at any single point except for Barbie getting called a Fascist for no reason by a 14 year old. I enjoyed how they called out women for hating women and how they really tried to preach empowerment and the ability to be anything, but at the same time there was so much resentment and they ended the movie by reinstating hate. The majority of the movie was hating men as much as possible. That's just whatever because what really matters is the story. Well it fell short on that mark and it was really disappointing. The pacing was horrible, the villain won and was pretty irrelevant in the long run, the story was all over the place, and it is totally not for kids. I think the worst part is how disappointed I was at the opportunity to really make something special and it just wasn't. 6 points for all the laughs and fun I had and I would expect 6-7 to be an appropriate rating.",/review/rw9201199/?ref_=tt_urv
29,19 July 2023,andypaps101,8," ""Barbie"" - A Multifaceted Exploration of Femininity, Consumerism, and Existentialism
",I got free tickets for a preview and to be honest I was more than a little embarrassed to go. I did not tell a soul. As a cool middle aged gentleman if word got out this could have really affected my street cred.,/review/rw9201199/?ref_=tt_urv
30,19 July 2023,tm-sheehan,6," Didn't hit my pink spot
","My Review - Barbie
In Cinemas now
My Rating 6.5/10",/review/rw9201199/?ref_=tt_urv
31,27 August 2023,max-850,4," Preacher Barbie?
","I believe I came to this movie with an open mind. In my opinion a movie balled Barbie needs to be a comedy. And while there were pieces here and there that were funny, for the most part we (and everyone in the theater) only laughed occasionally. The production design and costumes are great. The screenplay is the weakest part. The direction is next weakest. And those two caused a great cast to overact. When this movie takes itself seriously it gets tedious. It's preachy. We are constantly being told what we are seeing and what we should think about what we are thinking. This is not engaging. Why can't we think for ourselves based on what we see? I hated being treated like a ten year old and being spoonfed the morals, thoughts and feelings. But then maybe the target audience is ten-year-olds. In any event, I thought it would never end. By the time they were talking about ordinary Barbie, all I could think was ""Sanctimonious Barbie.""",/review/rw9201199/?ref_=tt_urv
32,29 July 2023,cmdown-50506,9," Now I am become Barbie Girl, the enjoyer of Barbie worlds
","I have been waiting for this to release for so long and I finally got to watch it today. I absolutely loved it! It was fun, it had Margot Robbie (and extra stuff for Tarantino's out there if you know what I mean) And it had some absolute bangers! What more could you want from a new summer classic?",/review/rw9201199/?ref_=tt_urv
33,24 July 2023,GhostFoxX,6," Misleading.
","I personally expected the movie to be fun and adventurous. Correct me if I'm wrong, but isn't that what it is supposed to be? It's literally a movie about Barbie. Instead, it felt more like an agent of woke culture, and basically Mattel's (the company that produces Barbie dolls) way of capitalizing the emotional aspect of the cinephiles to make their business more popular and trendier. It continuously tried to portray the fact that Mattel is no more producing white barbie dolls, it is now producing dolls of all colors and races. Well, that is definitely a good thing, but making most of the movie focus on that aspect felt very boring and wrong. If they didn't quite make a movie that is fun and adventurous, why make the marketing events misleading? They could've just focused on the audience for whom it was made, rather than on the entire world through their absurdly irrelevant marketing events that made the world think that this movie is going to be all about fun and adventure. Sadly, it was not nearly as enjoyable as the misleading marketing made it seem.",/review/rw9201199/?ref_=tt_urv
34,24 July 2023,brianjohnson-20043,4," This movie tries to be too much
",I wanted to like it. But I just didn't. The story wasn't very compelling to me because it seemed as if the entire point of much of the movie was to provide learning moments for viewers with some slapstick comedy and quick-delivery comedy. The story itself should nearly always be more important.,/review/rw9201199/?ref_=tt_urv
35,21 July 2023,masonsaul,10," The best version of itself
","Barbie is everything expected of it and so much more, a self aware and meta comedy made for fans and newcomers alike that's also incredibly profound, layered and really funny. It's the best version of itself and just immensely satisfying that the Barbie movie that got made on this scale is so weird and unique.",/review/rw9201199/?ref_=tt_urv
36,15 September 2023,maxlagerholm,6," Excellent marketing team.
",They really did some fantastic marketing with this movie.,/review/rw9201199/?ref_=tt_urv
37,21 July 2023,imdbmovieguy,," Honestly - not funny and light enough
","I really enjoyed the first 20 minutes of the movie. It was very upbeat, positive and light. However, things soon became negative about 20 - 25 minutes into the movie. I couldn't stand it. Barbie's world and attitude was a constant bummer. Ken's attitude was sour. For the next hour (and more) the movie just lived in negativity.",/review/rw9201199/?ref_=tt_urv
38,19 July 2023,anjamulder,8," not for everyone
","This is very much a movie that will get devided opinions on it, my cousin said well this is two hours of my life i will never get back, and me? I left the theatre in such a good mood. It was the sense of humor for me, laughed so hard. Specially Ryan Gossling was sooooo good and funny, many familiar faces to spot also. And margot robbie come on... the perfect casting for Barbie. I also have to say, the way they created Barbie land was so amazing, it just makes you just want to there. I don't really have anything bad to say about this movie. I can understand not everyone will love it. But i am sure it is a iconic film already.",/review/rw9201199/?ref_=tt_urv
39,19 July 2023,mark-217-307033,6," Fun film whose script falls in on itself
","Margot Robbie's performance is perfect, and no other actor could've embodied the character as well as she does. However, Ryan Gosling is the film-stealer. I often forget his comedic talent, and he's given a lot of room to flex it in this. A cleverly executed Matchbox Twenty joke is particularly memorable.",/review/rw9201199/?ref_=tt_urv
40,23 July 2023,eoinageary,8," I am Kenough
",So I went into the movie with little to no expectations and I was pleasantly impressed with the movie overall.,/review/rw9201199/?ref_=tt_urv
41,21 July 2023,arslanmanzoor123,6," Quite disappointing
","Some friends freaking out that I went to see Barbie lol I mean I mentioned I went coz my sister insisted since ages. Anyway the movie was bad. These days, every other director and producer wants to convey messages about women rights and feminism through whatever platform possible and this movie was a perfect example of that with sheer cringe to convey all that. I wished I had gotten the ticket for Oppenheimer in the same timings as my sister's Barbie show. Other than that, the acting done by Margot Robbie and Ryan Gosling was great so can't take that away from them. They did justice to their roles.",/review/rw9201199/?ref_=tt_urv
